Kernel ID,Poped,Length,Width,Color
0,Yes,11,9,White
1,No,6,5,Brown
2,Yes,36,24,White
3,Yes,18,17,White
4,Yes,28,15,White
5,No,8,3,Brown
6,Yes,15,2,White
7,Yes,34,7,White
8,Yes,23,18,White
9,No,6,4,Yellow
10,Yes,13,7,White
11,No,8,4,Brown
12,Yes,20,6,White
13,Yes,28,9,White
14,Yes,30,2,White
15,Yes,25,10,White
16,Yes,8,2,Brown
17,Yes,29,3,White
18,Yes,8,2,White
19,Yes,19,15,White
20,Yes,11,6,White
21,Yes,32,7,White
22,Yes,30,7,White
23,No,8,4,Brown
24,Yes,20,6,White
25,Yes,22,21,White
26,Yes,21,8,White
27,Yes,20,17,White
28,Yes,18,10,White
29,Yes,14,12,White
30,Yes,8,5,White
31,Yes,13,12,White
32,Yes,23,12,White
33,No,6,6,Brown
34,No,7,5,Brown
35,Yes,23,19,White
36,Yes,15,10,White
37,No,7,5,Brown
38,Yes,16,10,White
39,Yes,21,14,White
